"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"340","ORA9",0.096745834,0.029998684,0.0055290172,1,2,1,3,3,3
"341","SEM1",0,0,0.11232104,1,2,1,3,3,3
"342","SEM10",0.33616883,0.011493741,0.27326247,2,3,2,1,1,1
"343","SEM12",0.022,0,0.28169072,2,3,2,1,1,1
"344","SEM13",0.0013846153,0.1529444,0.012851724,1,2,1,3,3,3
"345","SEM15",0.074593283,0.10647931,0.071590871,1,2,1,3,3,3
"346","SEM16",0.018000001,0.099529944,0,1,2,1,3,3,3
"347","SEM17",0.12684877,0,0.0052461764,1,2,1,3,3,3
"348","SEM18",0.088279448,0.019196112,0.003206844,1,2,1,3,3,3
"349","SEM19",0.018828571,0.01026525,0.010169385,1,2,1,3,3,3
"350","SEM2",0.061232813,0.049417026,0.34962323,2,3,2,1,1,1
"351","SEM20",0.11885946,0.13270125,0.016425373,1,2,1,3,3,3
"352","SEM22",0.04430769,0.17782471,0.052907925,1,1,3,2,2,2
"353","SEM25",0.0035000001,0.12736316,0.054411151,1,2,1,3,3,3
"354","SEM26",0.11810369,0.030958373,0.0073600025,1,2,1,3,3,3
"355","SEM27",0.059691429,0.010474966,0.28866136,2,3,2,1,1,1
"356","SEM28",0.064333752,0.0045427834,0,1,2,1,3,3,3
"357","SEM29",0.039574735,0.15736389,0.30936274,2,3,2,1,1,1
"358","SEM30",0.02535281,0.055169772,0.0037845657,1,2,1,3,3,3
"359","SEM31",0.023142857,0.022971762,0.37398407,2,3,2,1,1,1
"360","SEM32",0.19004652,0.019034605,0.17340991,2,2,1,3,3,3
"361","SEM34",0.039999999,0.023327785,0.29874307,2,3,2,1,1,1
"362","SEM35",0.18024445,0.052271824,0.22168766,2,1,2,1,1,1
"363","SEM36",0.16144222,0,0.12445071,1,2,1,3,3,3
"364","SEM37",0.019512195,0,0,1,2,1,3,3,3
"365","SEM39",0.11579448,0.24179319,0.55902982,2,3,2,1,1,1
"366","SEM40",0.026181817,0.4605881,0,3,1,3,2,2,2
"367","SEM41",0,0.043935254,0.32580835,2,3,2,1,1,1
